Day;High;Low;Precip.
01 May ;81.0;75.9;0.11
02 May ;84.0;72.0;0.05
03 May ;81.0;75.9;0.00
04 May ;82.9;78.1;0.00
05 May ;81.0;75.0;0.00
06 May ;79.0;69.1;0.00
07 May ;78.1;69.1;0.00
08 May ;81.0;71.1;0.00
09 May ;82.0;75.0;0.00
10 May ;82.0;77.0;0.00
11 May ;82.0;75.9;0.00
12 May ;82.9;75.9;0.00
13 May ;84.9;78.1;0.00
14 May ;84.0;78.1;0.03
15 May ;84.9;75.9;0.00
16 May ;84.9;75.9;0.27
17 May ;84.0;77.0;0.02
18 May ;84.0;78.1;0.00
19 May ;84.0;78.1;0.01
20 May ;84.0;80.1;0.00
21 May ;84.0;80.1;0.00
22 May ;84.0;80.1;0.00
23 May ;84.9;80.1;0.00
24 May ;84.9;75.9;0.10
25 May ;87.1;79.0;0.00
26 May ;89.1;72.0;0.00
27 May ;86.0;81.0;0.03
28 May ;88.0;82.9;0.00
29 May ;86.0;82.0;0.00
30 May ;86.0;81.0;0.00
31 May ;87.1;82.9;0.00